age,employ,address,income,debtinc,creddebt,othdebt,ed,default
38,13,18,25,5.7,0.343425,1.081575,3,0
43,10,24,37,8.5,0.676175,2.468825,2,0
31,9,8,53,13.5,1.194885,5.960115,2,0
,10,18,123,17.3,3.021618,18.257382,4,0
37,4,11,20,21.7,0.1736,4.1664,2,1
41,12,11,,26.5,4.99101,17.79899,3,1
32,0,4,20,3,0.2634,0.3366,1,1
22,0,1,35,9,0.7812,2.3688,2,1
32,12,3,63,18.2,5.549544,5.916456,2,0
,17,23,41,9.5,0.455715,3.439285,2,0
40,21,21,46,6.2,0.966828,1.885172,1,0
31,8,1,22,6.7,0.369974,1.104026,1,0
34,7,0,27,2.2,0.125334,0.468666,3,0
52,13,17,234,7.7,7.38738,10.63062,4,0
28,2,2,17,2.5,0.199325,0.225675,1,1
38,15,18,63,13.4,5.090526,3.351474,3,0
33,10,4,26,3.1,0.030628,0.775372,2,0
39,9,12,32,6.6,1.429824,0.682176,2,0
47,23,11,115,4,0.6532,3.9468,3,0
36,11,8,49,1.3,0.272636,0.364364,2,0
29,7,2,84,13.6,6.91152,4.51248,3,1
48,14,10,59,16.5,4.935645,4.799355,4,1
38,12,18,64,5.8,0.894592,2.817408,3,0
46,9,26,15,4.3,0.014835,0.630165,2,0
27,5,4,42,19.9,2.707992,5.650008,3,1
54,18,34,114,8.5,3.2946,6.3954,1,0
27,0,0,,12.7,1.419225,1.755775,4,1
23,1,0,17,1.6,0.011696,0.260304,1,0
41,23,2,91,13.7,0.573482,11.893518,1,0
24,3,5,15,11.3,0.072885,1.622115,1,1
28,9,0,22,27.7,5.283498,0.810502,1,1
26,0,0,14,10.5,0.25578,1.21422,1,0
24,8,0,17,5.6,0.569296,0.382704,1,1
49,22,4,79,7.3,0.28835,5.47865,2,0
28,3,1,36,8.6,0.383904,2.712096,2,0
38,6,17,18,13,0.13104,2.20896,1,0
33,2,9,37,4.5,0.834165,0.830835,2,0
26,8,4,25,4.7,0.210325,0.964675,1,0
36,9,1,40,9.8,1.97568,1.94432,1,0
37,16,14,50,36.6,7.32,10.98,3,1
25,0,1,18,33.4,2.801592,3.210408,4,1
29,9,2,33,4.8,0.693792,0.890208,1,0
27,8,4,38,6.9,0.364458,2.257542,2,0
45,17,0,62,15,2.4366,6.8634,1,0
37,9,8,57,5.5,1.357455,1.777545,1,0
29,3,6,26,6.1,0.537654,1.048346,2,1
51,10,1,44,13.2,4.960032,0.847968,1,1
22,0,0,23,8.4,0.372876,1.559124,3,1
30,7,10,30,15.7,0.26376,4.44624,4,0
31,7,2,20,12.3,0.1107,2.3493,1,0
28,2,0,18,14.8,1.939392,0.724608,1,1
35,10,16,,5.7,0.217854,2.005146,1,0
25,1,1,34,8.5,0.13294,2.75706,4,1
32,5,0,28,14.8,2.594144,1.549856,2,1
33,2,10,24,9.6,1.041408,1.262592,1,0
28,3,4,41,25.1,5.896743,4.394257,2,1
46,4,17,73,5.4,2.223288,1.718712,3,0
41,24,12,83,14,6.58854,5.03146,1,0
42,11,5,73,6.8,2.869192,2.094808,2,0
41,9,13,47,5,0.4371,1.9129,4,0
26,3,5,29,25.7,2.526567,4.926433,1,1
47,27,8,113,9.2,2.380684,8.015316,1,0
29,1,3,18,25.6,1.98144,2.62656,1,1
34,3,14,36,4.7,0.624348,1.067652,1,0
36,7,2,43,6.2,1.03974,1.62626,1,0
38,7,4,64,3,0.65088,1.26912,2,0
41,4,14,26,19.2,1.47264,3.51936,2,1
46,9,23,31,13.8,1.617084,2.660916,1,0
40,3,15,55,16.5,1.751475,7.323525,3,1
44,17,0,129,2.5,0.551475,2.673525,2,0
35,10,15,39,10.4,1.60212,2.45388,3,0
36,20,15,,5.4,1.05624,2.18376,1,0
28,0,3,30,4.8,0.12096,1.31904,1,1
29,6,7,18,5.1,0.44982,0.46818,2,1
23,3,3,22,11.4,1.274064,1.233936,2,1
41,7,17,63,15.4,4.637556,5.064444,2,0
25,1,1,,6.9,0.190095,1.120905,1,0
45,2,19,29,5.4,0.443178,1.122822,2,0
48,30,14,148,7.2,3.974688,6.681312,2,0
38,18,7,45,7,0.5355,2.6145,1,0
29,6,4,,5.4,1.169964,1.314036,1,0
42,15,8,186,3.6,2.403864,4.292136,4,0
31,11,12,47,10.9,2.863757,2.259243,1,0
40,3,13,23,6.9,0.409446,1.177554,1,0
26,2,6,21,19.8,1.022868,3.135132,1,0
25,6,6,22,20.2,2.261996,2.182004,1,0
53,7,11,61,7.9,1.874591,2.944409,4,0
50,18,27,102,14.1,5.781564,8.600436,3,0
47,31,9,136,23.1,14.231448,17.184552,1,1
23,1,0,21,8.4,1.210104,0.553896,1,1
37,12,8,83,4.1,0.319882,3.083118,3,0
41,24,15,100,11.5,5.06,6.44,1,0
28,0,7,29,13.3,2.148349,1.708651,2,1
31,7,11,41,30.7,2.995706,9.591294,1,1
41,6,1,19,6.3,0.124488,1.072512,2,0
36,7,17,40,9.9,1.69488,2.26512,1,0
41,1,16,19,4.4,0.241604,0.594396,1,0
53,16,31,44,5.6,1.333024,1.130976,2,0
31,6,5,25,11.5,2.331625,0.543375,2,0
28,5,6,25,2.9,0.338575,0.386425,2,0
48,28,25,70,12,4.3344,4.0656,1,0
23,0,1,42,3.9,1.018836,0.619164,2,1
31,11,6,34,6.8,0.298248,2.013752,1,0
27,6,6,43,4.9,0.882833,1.224167,1,0
43,11,17,37,1.3,0.179894,0.301106,1,0
29,5,7,28,18.7,2.125816,3.110184,2,0
53,6,7,27,6.4,0.594432,1.133568,1,1
38,4,9,19,13.6,1.245488,1.338512,1,0
30,12,10,38,8.5,0.17119,3.05881,1,0
28,2,0,20,9.4,0.23312,1.64688,3,1
36,11,2,33,32.5,1.26555,9.45945,1,0
48,15,5,60,2.1,0.3213,0.9387,1,0
31,12,9,24,6.6,0.441936,1.142064,1,0
35,16,10,57,10.5,1.143135,4.841865,1,0
50,4,4,23,12.5,0.140875,2.734125,1,0
42,12,9,55,15,2.53275,5.71725,2,0
40,2,3,28,7.1,0.184884,1.803116,1,0
37,0,13,31,0.9,0.118017,0.160983,2,1
31,6,8,54,2.8,0.402192,1.109808,3,0
38,11,13,35,8,1.2656,1.5344,1,0
35,15,1,77,10.6,5.501188,2.660812,1,0
44,24,10,101,5.6,2.992024,2.663976,1,0
44,21,14,113,13.2,3.192024,11.723976,2,0
33,0,12,23,0.9,0.077418,0.129582,1,0
35,7,14,29,4.9,0.264306,1.156694,1,0
36,10,4,43,13,0.96148,4.62852,3,0
23,3,4,24,6.3,0.55188,0.96012,2,0
27,0,7,18,12.8,0.582912,1.721088,1,0
34,6,1,,1.2,0.04248,0.19752,1,0
35,0,5,34,11.1,1.369962,2.404038,1,1
24,4,4,20,3.7,0.32412,0.41588,2,0
48,30,8,101,6.4,1.87456,4.58944,2,0
26,8,1,40,11.8,0.44368,4.27632,2,0
40,6,9,36,2.1,0.390852,0.365148,1,1
34,9,8,48,9.3,0.419616,4.044384,1,0
35,17,4,42,3,0.09324,1.16676,1,0
30,7,2,33,25.4,1.165098,7.216902,1,1
20,4,0,14,9.7,0.200984,1.157016,1,1
36,1,17,30,11.5,0.3243,3.1257,4,0
21,1,1,16,6.3,0.14112,0.86688,1,0
34,18,10,53,10.5,0.840315,4.724685,1,0
35,7,5,39,16.1,1.701609,4.577391,1,1
35,1,4,20,7.9,0.8532,0.7268,3,0
34,10,1,33,10.3,2.501664,0.897336,1,1
33,12,12,68,10.8,1.365984,5.978016,1,0
30,4,2,18,10.7,0.227268,1.698732,1,0
24,0,5,16,7.3,0.024528,1.143472,2,0
47,31,8,253,7.2,9.308376,8.907624,1,0
,0,26,,28.9,2.754459,5.048541,1,1
22,0,2,20,4.7,0.21902,0.72098,3,0
48,6,1,66,12.1,2.31594,5.67006,2,0
36,6,15,27,4.6,0.262062,0.979938,2,1
29,6,4,21,11.5,0.369495,2.045505,2,0
33,15,3,32,7.6,0.491264,1.940736,1,0
45,19,22,77,8.4,2.302608,4.165392,1,0
37,12,14,,14.7,2.994684,3.473316,1,0
